,Global_reactive_power,Voltage,Global_intensity,date,month,hour,Minutes,total_metering
1829135,0.088,241.51,2.6,6,8,22,59,1.0
768930,0.0,233.56,1.0,6,2,16,54,1.0
836518,0.194,238.06,5.6,19,7,15,22,18.0
1125565,0.0,240.77,6.2,2,5,8,49,17.0
461627,0.098,241.98,1.2,11,2,7,11,2.0
1369162,0.0,242.07,0.6,24,7,12,46,0.0
1369379,0.118,242.33,1.0,24,7,16,23,0.0
1539457,0.186,239.38,5.2,19,11,19,1,0.0
566086,0.0,234.37,13.9,13,1,20,10,17.0
1535695,0.122,244.72,1.4,17,11,4,19,1.0
1589786,0.0,241.01,13.9,24,12,17,50,45.0
1698509,0.25,246.28,2.0,3,10,5,53,2.0
407439,0.088,236.98,3.4,25,9,16,3,0.0
1848725,0.192,241.38,3.6,22,6,13,29,12.0
166402,0.204,240.07,1.8,4,11,6,46,2.0
2045325,0.06,238.05,6.0,11,6,2,9,20.0
703362,0.238,242.32,2.0,18,4,4,6,1.0
1837150,0.156,241.94,8.6,14,6,12,34,18.0
1997318,0.094,241.64,2.0,10,3,18,2,1.0
1916636,0.112,238.1,1.2,8,8,17,20,0.0
680421,0.106,241.7,1.4,4,2,5,45,1.0
867273,0.084,238.11,0.8,8,9,23,57,1.0
1874829,0.06,240.1,1.0,7,10,16,33,1.0
1835977,0.096,244.21,1.8,13,6,17,1,1.0
1580635,0.17,237.2,13.9,18,12,9,19,45.0
1032560,0.238,240.25,11.8,12,2,18,44,18.0
1237374,0.0,244.28,1.4,24,4,0,18,0.0
1199607,0.41300000000000003,236.14,13.9,28,3,18,51,45.0
1085220,0.074,242.52,6.0,1,8,8,24,21.0
1133711,0.116,248.60500000000005,1.4,2,11,0,35,2.0
1451058,0.07,238.75,7.6,19,9,9,42,18.0
914698,0.148,241.81,4.4,9,11,22,22,11.0
723314,0.122,244.44,1.6,5,2,0,38,0.0
1404702,0.294,239.62,2.0,18,8,5,6,3.0
683784,0.054,240.55,5.6,4,4,13,48,18.0
689447,0.314,239.52,7.4,4,8,12,11,25.0
1491985,0.268,236.08,10.8,17,10,19,49,18.0
1618949,0.1,240.81052229987583,2.8,13,1,23,53,1.0
978007,0.056,237.88,1.2,25,10,21,31,1.0
1657168,0.286,243.51,8.4,2,9,12,52,19.0
1010968,0.12,237.01,6.8,17,11,18,52,0.0
1582575,0.052,245.71,5.2,19,12,17,39,18.0
497276,0.0,248.27,1.0,27,11,1,20,0.0
1152513,0.1,242.72,1.4,24,2,1,57,0.0
1253316,0.0,242.16,1.2,5,5,2,0,1.0
1510053,0.076,237.67,5.8,30,10,8,57,18.0
642201,0.216,241.12,6.0,3,6,16,45,1.0
883231,0.136,238.87,0.8,21,8,1,55,2.0
1602201,0.214,243.77,6.4,1,2,8,45,1.0
1862346,0.194,239.61,6.8,7,2,0,30,18.0
1510716,0.234,242.98,3.4,30,10,20,0,1.0
654263,0.078,239.02,1.2,15,3,1,47,1.0
109536,0.0,235.7,0.8,3,2,19,0,0.0
2068273,0.228,246.41,1.8,22,11,0,37,1.0
1840244,0.176,240.51,10.2,16,6,16,8,36.0
1283203,0.058,236.36,2.2,25,5,20,7,1.0
72727,0.22,240.65,6.4,2,5,5,31,20.0
211489,0.092,233.20499999999996,7.4,5,12,14,13,18.0
1875368,0.078,239.93,1.0,7,11,1,32,2.0
1926595,0.408,241.44,2.6,15,8,15,19,1.0
237997,0.07,235.19,5.2,31,5,0,1,17.0
347221,0.0,237.78,0.8,14,8,20,25,0.0
1651473,0.064,242.84,1.2,2,5,13,57,0.0
929348,0.086,241.25,1.0,22,9,2,32,1.0
102288,0.0,239.88,1.2,25,2,18,12,0.0
351813,0.148,242.31,1.0,18,8,0,57,0.0
723404,0.12,243.83,1.4,5,2,2,8,1.0
60348,0.238,240.5,13.9,27,1,15,12,45.0
70079,0.162,246.74,1.8,2,3,9,23,0.0
934338,0.092,242.34,1.0,25,9,13,42,1.0
1238590,0.132,241.98,2.0,24,4,20,34,1.0
475914,0.0,241.37,1.0,11,12,5,18,0.0
1160687,0.082,238.28,4.8,3,1,18,11,0.0
1325804,0.086,236.99,5.2,24,6,10,8,18.0
293916,0.052,240.12,1.2,7,8,20,0,2.0
1064316,0.054,243.81,1.8,24,12,20,0,0.0
68018,0.106,242.93,5.6,2,1,23,2,20.0
1740621,0.08,240.52,5.8,4,8,11,45,19.0
1279071,0.0,241.77,1.0,22,5,23,15,1.0
1704861,0.408,241.07,3.0,14,3,15,45,2.0
814833,0.0,239.6,0.6,7,4,13,57,1.0
1528732,0.0,240.11,6.4,11,12,8,16,18.0
970739,0.204,238.72,12.2,20,10,20,23,22.0
821094,0.0,238.08,8.8,7,8,22,18,19.0
1740872,0.222,242.66,1.8,4,8,15,56,1.0
1147489,0.154,239.13,3.6,20,2,14,13,0.0
910893,0.0,238.98,13.2,9,9,6,57,18.0
1425143,0.1,241.0,2.6,9,1,9,47,1.0
2051312,0.086,243.37,1.4,11,10,5,56,2.0
2027496,0.09,242.83,6.0,24,10,17,0,19.0
213046,0.098,236.84,2.2,13,5,16,10,1.0
350267,0.0,243.87,0.4,16,8,23,11,0.0
1857827,0.304,243.93,4.4,28,6,21,11,2.0
1832344,0.224,242.08,1.6,6,11,4,28,1.0
369668,0.138,241.95,1.0,30,8,10,32,0.0
1515386,0.0,245.49,0.8,11,3,1,50,1.0
2052016,0.0,235.07,6.8,11,10,17,40,0.0
414474,0.08,239.16,1.2,30,9,13,18,2.0
1857173,0.0,242.52,1.0,28,6,10,17,0.0
1484526,0.146,238.88,1.6,10,12,15,30,2.0
1934779,0.1,240.81052229987583,2.8,21,8,7,43,1.0
439607,0.09,243.08,1.6,18,10,0,11,0.0
806515,0.222,240.17,2.4,28,6,19,19,0.0
1132963,0.0,243.55,5.4,2,10,12,7,18.0
2043929,0.106,248.60500000000005,1.4,11,5,2,53,3.0
512529,0.078,244.74,6.4,12,7,15,33,23.0
1133845,0.0,248.60500000000005,1.2,2,11,2,49,0.0
1763529,0.0,241.67,1.0,24,4,9,33,1.0
893419,0.304,238.95,3.0,28,8,3,43,5.0
1397969,0.1,240.81052229987583,2.8,13,8,12,53,1.0
693250,0.238,241.96,2.0,4,11,3,34,2.0
1652625,0.256,238.92,6.6,2,6,9,9,19.0
1034477,0.0,245.24,1.4,12,4,2,41,0.0
290644,0.118,239.93,1.0,7,6,13,28,0.0
511645,0.1,243.95,1.2,12,7,0,49,0.0
1835068,0.074,243.59,1.0,13,6,1,52,1.0
2017158,0.106,242.98,1.4,17,10,12,42,1.0
952127,0.36,238.6,9.2,10,7,22,11,3.0
2003534,0.066,241.57,1.0,10,8,1,38,0.0
2067872,0.134,233.78,5.8,21,11,17,56,17.0
1895384,0.212,243.79,4.8,24,7,23,8,3.0
1874190,0.208,240.62,1.6,7,10,5,54,2.0
465343,0.13,234.93,7.4,11,4,21,7,16.0
820145,0.0,240.27,1.8,7,8,6,29,1.0
1050142,0.22,248.57,2.0,14,12,23,46,0.0
1607575,0.118,247.27,1.4,1,6,2,19,3.0
1777026,0.064,235.79,2.4,5,3,18,30,0.0
1545045,0.104,242.87,2.0,23,11,16,9,1.0
696523,0.05,237.04,7.6,13,4,10,7,18.0
203463,0.082,237.57,5.2,5,7,0,27,18.0
100569,0.112,241.39,1.2,24,2,13,33,1.0
1887734,0.088,245.05,1.6,19,7,15,38,1.0
101921,0.0,243.65,1.0,25,2,12,5,0.0
700352,0.0,243.64,1.0,16,4,1,56,1.0
747822,0.122,244.02,1.2,19,5,1,6,1.0
350042,0.104,239.45,0.8,16,8,19,26,0.0
1782998,0.088,235.46,8.0,5,7,22,2,18.0
1540775,0.064,239.61,2.4,20,11,16,59,0.0
1231830,0.11,243.22,1.6,20,4,3,54,1.0
1851396,0.0,239.85,5.2,24,6,10,0,18.0
617014,0.118,244.53,1.4,18,2,4,58,0.0
1015167,0.168,236.96,2.2,20,11,16,51,1.0
1197130,0.0,242.92,1.4,27,3,1,34,0.0
524058,0.056,244.28,6.0,15,12,15,42,19.0
2014740,0.41300000000000003,239.44,13.0,15,10,20,24,12.0
619419,0.05,240.85,10.4,19,2,21,3,17.0
1394397,0.0,241.96,0.8,8,11,1,21,1.0
456291,0.122,245.44,1.4,29,10,14,15,0.0
1297560,0.41300000000000003,237.61,11.2,6,4,19,24,18.0
724496,0.41300000000000003,237.61,9.8,5,2,20,20,29.0
285782,0.0,240.42,0.8,7,3,4,26,0.0
881057,0.142,241.05,0.8,19,8,13,41,2.0
1876709,0.17,235.7,13.9,7,11,23,53,45.0
829253,0.224,241.07,1.8,14,7,14,17,1.0
1941392,0.094,242.79,5.8,25,8,21,56,19.0
655364,0.056,235.0,9.4,15,3,20,8,17.0
1687859,0.0,239.37,1.0,3,2,20,23,1.0
1017474,0.234,242.32,7.8,22,11,7,18,18.0
1922388,0.246,242.25,1.8,8,12,17,12,1.0
903048,0.336,238.64,10.0,9,3,20,12,19.0
1939448,0.228,241.97,1.8,24,8,13,32,2.0
551244,0.088,242.4,2.2,1,3,12,48,0.0
1961570,0.054,245.77,4.4,9,8,22,14,2.0
169478,0.0,237.98,5.2,13,4,10,2,17.0
298365,0.112,240.22,1.0,7,11,22,9,0.0
766877,0.0,243.21,0.6,6,1,6,41,1.0
1619708,0.1,240.81052229987583,2.8,14,1,12,32,1.0
1492696,0.126,241.38,1.8,18,10,7,40,0.0
1042485,0.05,247.99,5.4,12,9,16,9,19.0
1568089,0.07,242.92,11.0,12,9,16,13,23.0
1298379,0.1,235.69,5.6,6,5,9,3,18.0
1417833,0.226,238.68,5.8,27,8,7,57,18.0
734593,0.192,241.94,1.8,5,9,20,37,1.0
729560,0.0,239.16,5.4,5,6,8,44,18.0
1055558,0.0,243.17,0.8,18,12,18,2,0.0
1816326,0.202,241.9,1.6,31,5,1,30,1.0
1583277,0.2,248.60500000000005,1.8,20,12,5,21,1.0
1147592,0.104,242.28,2.2,20,2,15,56,0.0
1356281,0.188,239.67,1.4,15,7,14,5,2.0
1488707,0.058,241.73,5.4,15,10,13,11,19.0
1175756,0.0,243.56,1.0,3,12,5,20,0.0
1935995,0.1,240.81052229987583,2.8,22,8,3,59,1.0
618075,0.108,242.03,3.6,18,2,22,39,0.0
554757,0.052,240.14,7.0,1,5,23,21,17.0
1639572,0.226,237.06,13.9,28,1,7,36,45.0
385518,0.224,236.35,1.6,9,10,10,42,1.0
1539518,0.228,240.01,6.0,19,11,20,2,1.0
830344,0.216,236.19,6.2,15,7,8,28,18.0
555804,0.168,240.97,4.6,1,6,16,48,0.0
164570,0.348,241.64,2.4,4,10,0,14,1.0
867290,0.0,239.52,0.2,8,10,0,14,1.0
337292,0.092,239.95,3.2,8,7,22,56,0.0
291377,0.158,242.2,6.4,7,7,1,41,25.0
640687,0.132,241.4,7.4,3,5,15,31,21.0
287190,0.176,241.86,1.4,7,4,3,54,1.0
1013030,0.048,241.67,1.4,19,11,5,14,0.0
1838960,0.068,242.4,1.6,15,6,18,44,0.0
110287,0.0,243.86,0.8,3,3,7,31,0.0
92533,0.26,242.54,2.0,18,2,23,37,1.0
1345519,0.0,243.21,1.2,7,8,2,43,2.0
20642,0.146,241.47,1.4,31,12,1,26,0.0
1932444,0.1,240.81052229987583,2.8,19,8,16,48,1.0
637401,0.082,237.99,2.4,3,3,8,45,2.0
1765573,0.206,241.59,1.8,25,4,19,37,1.0
1538059,0.41300000000000003,242.43,10.8,18,11,19,43,12.0
1203216,0.222,240.41,6.0,31,3,7,0,7.0
2003255,0.222,241.4,11.2,10,7,20,59,18.0
1969545,0.354,233.20499999999996,13.9,14,9,11,9,45.0
1868231,0.188,241.38,1.6,7,6,2,35,2.0
530998,0.052,242.33,6.2,20,12,11,22,18.0
324048,0.118,235.71,1.0,29,7,18,12,0.0
1206502,0.062,243.5,5.8,4,2,13,46,18.0
1830902,0.06,243.5,1.2,6,10,4,26,1.0
560982,0.11,236.77,8.6,1,10,7,6,0.0
336207,0.206,235.48,1.4,8,7,4,51,0.0
1048363,0.208,239.05,10.0,13,12,18,7,0.0
1062261,0.0,240.12,7.8,23,12,9,45,17.0
1034786,0.192,239.84,11.0,12,4,7,50,18.0
382707,0.152,238.0,11.8,9,8,11,51,41.0
1620456,0.084,242.33,1.2,15,1,1,0,1.0
1454248,0.122,240.89,1.2,21,9,14,52,0.0
813584,0.342,239.58,2.2,7,3,17,8,3.0
806518,0.116,239.14,2.0,28,6,19,22,0.0
1719596,0.078,238.72,10.2,24,3,21,20,20.0
1572641,0.068,240.5,13.9,12,12,20,5,45.0
1412618,0.41300000000000003,239.81,12.4,23,8,17,2,20.0
1319167,0.264,239.83,2.0,19,6,19,31,1.0
1403717,0.356,241.35,2.2,17,8,12,41,2.0
370125,0.076,239.54,1.2,30,8,18,9,0.0
1863915,0.228,239.46,8.8,7,3,2,39,11.0
501290,0.066,237.29,8.6,29,11,20,14,5.0
41899,0.392,234.13,12.4,14,1,19,43,16.0
986127,0.072,243.87,6.2,31,10,12,51,19.0
1313449,0.236,242.43,3.2,15,6,20,13,1.0
656400,0.226,237.07,7.2,16,3,13,24,17.0
1845698,0.19,237.91,6.2,20,6,11,2,18.0
390777,0.0,241.74,1.4,14,9,2,21,0.0
1415035,0.112,242.3,1.0,25,8,9,19,0.0
538781,0.0,236.72,13.9,25,12,21,5,45.0
144727,0.0,240.72,1.0,27,3,5,31,0.0
317627,0.0,234.48,1.8,25,7,7,11,1.0
255233,0.13,244.23,2.8,6,11,23,17,0.0
1422141,0.0,242.02,0.8,30,8,7,45,0.0
460535,0.0,244.48,0.8,11,1,12,59,0.0
438948,0.0,237.89,5.2,17,10,13,12,17.0
490613,0.148,239.14,5.8,22,11,10,17,18.0
1961690,0.234,240.92,4.4,9,9,0,14,1.0
797073,0.24,240.41,1.6,22,6,5,57,1.0
1373145,0.126,240.91,1.0,27,7,7,9,3.0
1608583,0.0,244.13,4.0,1,6,19,7,1.0
1569071,0.074,238.51,10.8,12,10,8,35,18.0
966531,0.124,240.66,6.0,17,10,22,15,3.0
1891465,0.346,242.09,2.2,22,7,5,49,3.0
1628718,0.098,239.28,7.2,20,1,18,42,0.0
706993,0.058,240.27,5.6,20,4,16,37,18.0
44615,0.0,244.24,8.0,16,1,16,59,19.0
1673861,0.062,244.57,1.2,21,2,3,5,1.0
667311,0.102,246.86,5.8,24,3,3,15,19.0
1370351,0.214,241.35,9.0,25,7,8,35,30.0
862908,0.0,244.78,0.2,8,6,23,12,1.0
1029692,0.41300000000000003,235.26,13.9,30,11,18,56,20.0
982302,0.116,239.63,10.4,28,10,21,6,17.0
1120997,0.082,248.37,1.4,2,2,4,41,0.0
1518221,0.0,245.53,1.0,11,5,1,5,1.0
788280,0.146,240.44,1.2,16,6,3,24,1.0
902557,0.0,238.43,8.2,9,3,12,1,22.0
873197,0.0,242.27,0.2,14,8,2,41,0.0
291565,0.102,241.76,1.0,7,7,4,49,1.0
1381812,0.13,242.89,1.0,8,2,7,36,2.0
1581379,0.082,245.25,10.0,18,12,21,43,19.0
157448,0.116,244.34,1.4,4,5,1,32,0.0
1318731,0.0,241.18,0.6,19,6,12,15,1.0
535509,0.0,245.53,5.8,23,12,14,33,19.0
1139064,0.046,239.42,6.0,14,2,17,48,18.0
136339,0.104,240.6,5.8,21,3,9,43,18.0
43333,0.3,236.11,13.9,15,1,19,37,20.0
252411,0.172,240.25,5.4,6,10,0,15,0.0
1696771,0.124,244.58,1.6,3,9,0,55,0.0
1394403,0.0,241.14,0.8,8,11,1,27,1.0
668692,0.0,244.59,1.0,25,3,2,16,0.0
1250686,0.096,243.15,1.4,5,3,6,10,1.0
1993424,0.184,240.18,2.0,10,1,1,8,2.0
783875,0.0,240.25,0.6,13,6,1,59,1.0
311062,0.084,233.20499999999996,6.8,20,7,17,46,16.0
1468566,0.11,242.79,1.0,10,1,13,30,0.0
730465,0.094,243.48,1.4,5,6,23,49,1.0
753699,0.122,240.06,1.0,23,5,3,3,1.0
838645,0.206,239.33,1.6,21,7,2,49,0.0
487993,0.072,244.9,5.8,20,11,14,37,18.0
1878204,0.114,239.54,1.2,13,7,0,48,1.0
1864686,0.258,241.77,2.0,7,3,15,30,2.0
69721,0.0,239.85,9.4,2,3,3,25,0.0
2050317,0.066,236.44,10.8,11,9,13,21,38.0
550736,0.13,248.27,1.6,1,3,4,20,1.0
1252626,0.086,242.97,1.4,5,4,14,30,1.0
1098175,0.0,242.47,13.6,17,1,8,19,18.0
176544,0.0,237.71,6.0,18,4,7,48,17.0
1643120,0.308,234.56,13.9,30,1,18,44,45.0
616838,0.104,242.19,5.8,18,2,2,2,18.0
949617,0.0,239.34,5.4,10,6,4,21,18.0
1368455,0.102,243.29,2.8,24,7,0,59,1.0
1215152,0.236,241.65,2.8,4,8,13,56,1.0
220597,0.41300000000000003,233.20499999999996,11.0,18,5,22,1,1.0
1705863,0.076,240.86,5.8,15,3,8,27,19.0
504853,0.208,241.96,1.6,12,2,7,37,0.0
1388797,0.122,241.08,1.0,8,7,4,1,2.0
905163,0.238,238.67,9.2,9,5,7,27,18.0
300265,0.0,240.92,1.2,13,7,5,49,0.0
86169,0.0,243.11,9.6,14,2,13,33,18.0
708309,0.134,245.34,1.4,21,4,14,33,1.0
950312,0.078,241.18,1.6,10,6,15,56,1.0
322379,0.0,235.63,3.0,28,7,14,23,4.0
2056796,0.078,241.47,6.2,14,11,1,20,18.0
1635750,0.098,247.04,1.4,25,1,15,54,2.0
161304,0.0,240.57,1.2,4,7,17,48,1.0
299641,0.41300000000000003,236.28,13.9,7,12,19,25,45.0
1455916,0.0,241.13,2.2,22,9,18,40,1.0
1514272,0.088,238.22,9.2,11,2,7,16,18.0
1482262,0.212,242.79,1.6,10,11,1,46,1.0
2022281,0.254,242.8,2.2,21,10,2,5,2.0
1891741,0.252,243.54,1.8,22,7,10,25,3.0
1926766,0.318,239.72,9.8,15,8,18,10,31.0
1547915,0.102,243.94,1.4,25,11,15,59,1.0
632016,0.0,241.41,0.8,28,2,15,0,0.0
1637799,0.0,245.27,5.6,27,1,2,3,19.0
1837275,0.068,241.32,1.4,14,6,14,39,0.0
1239315,0.0,241.84,2.0,25,4,8,39,0.0
1745068,0.322,242.4,6.8,4,11,13,52,20.0
1730190,0.082,242.37,1.4,4,1,5,54,2.0
253718,0.216,238.3,12.0,6,10,22,2,17.0
32433,0.11,240.46,1.2,1,8,5,57,0.0
913565,0.0,239.31,0.6,9,11,3,29,1.0
1999849,0.046,240.36,6.0,10,5,12,13,18.0
1751720,0.086,242.22,1.4,16,4,4,44,1.0
390164,0.102,239.2,2.8,13,9,16,8,0.0
780290,0.118,238.42,1.0,6,10,14,14,2.0
322377,0.0,233.68,7.4,28,7,14,21,23.0
1463098,0.072,241.21,2.2,27,9,18,22,1.0
1049384,0.178,235.56,13.9,14,12,11,8,45.0
1304486,0.152,240.65,1.4,6,9,14,50,2.0
1233324,0.0,241.33,5.4,21,4,4,48,1.0
886500,0.0,241.46,0.2,23,8,8,24,1.0
920249,0.198,237.53,9.0,15,9,18,53,28.0
1660575,0.104,242.74,2.6,2,11,21,39,2.0
1797882,0.208,243.55,2.0,18,5,6,6,1.0
1186711,0.0,242.59,2.8,19,3,19,55,0.0
841347,0.0,243.16,0.6,22,7,23,51,1.0
1409504,0.33,237.33,4.2,21,8,13,8,12.0
625098,0.236,233.67,13.0,23,2,19,42,18.0
720013,0.102,243.35,1.4,29,4,17,37,2.0
1818564,0.268,240.25,6.6,6,1,14,48,21.0
1347595,0.0,244.2,0.8,7,9,13,19,1.0
1518602,0.0,242.41,6.2,11,5,7,26,19.0
1791844,0.128,243.19,1.6,14,5,1,28,1.0
936619,0.0,241.34,0.6,27,9,3,43,1.0
1255800,0.104,239.19,3.0,5,6,19,24,3.0
384146,0.228,233.67,13.9,9,9,11,50,45.0
415508,0.0,241.54,1.0,10,1,6,32,0.0
917395,0.218,241.22,2.8,13,9,19,19,2.0
467858,0.126,234.01,5.6,11,6,15,2,17.0
1974317,0.298,237.97,9.0,17,9,18,41,28.0
581797,0.05,233.57,5.0,24,1,18,1,0.0
1983443,0.078,239.77,1.0,24,9,2,47,1.0
913849,0.0,239.79,5.4,9,11,8,13,18.0
1884000,0.178,239.85,3.8,17,7,1,24,2.0
1112704,0.21,240.58,6.4,27,1,10,28,19.0
1598427,0.194,237.6,10.2,30,12,17,51,1.0
1057207,0.07,240.72,7.8,19,12,21,31,0.0
1391257,0.122,240.86,1.0,8,8,21,1,2.0
436741,0.056,239.48,1.2,16,10,0,25,0.0
419302,0.22,237.85,13.9,10,3,21,46,27.0
1844740,0.092,244.52,1.4,19,6,19,4,1.0
1275161,0.084,242.32,1.4,20,5,6,5,3.0
1901980,0.238,241.38,1.6,29,7,13,4,2.0
1820291,0.376,240.62,4.4,6,2,19,35,10.0
788547,0.274,234.14,13.9,16,6,7,51,45.0
1021401,0.068,245.32,6.0,25,11,0,45,0.0
1767416,0.0,242.21,3.0,27,4,2,20,1.0
1759894,0.132,240.14,5.4,21,4,20,58,2.0
869341,0.264,238.57,1.4,8,11,10,25,2.0
153367,0.244,242.15,2.0,4,2,5,31,2.0
1702878,0.086,240.25,2.4,13,3,6,42,1.0
521897,0.1,246.01,1.2,14,12,3,41,0.0
1892265,0.242,242.71,1.8,22,7,19,9,3.0
1378002,0.0,243.38,0.6,30,7,16,6,0.0
1826524,0.312,243.53,4.0,6,7,3,28,12.0
675518,0.312,233.57,13.6,29,3,20,2,18.0
290024,0.0,241.85,0.6,7,6,3,8,0.0
208927,0.372,234.79,3.2,5,10,19,31,0.0
1204551,0.056,241.91,8.2,4,1,5,15,0.0
1822362,0.078,242.44,1.0,6,4,6,6,1.0
1812007,0.106,240.83,1.2,28,5,1,31,1.0
311278,0.112,243.42,2.6,20,7,21,22,1.0
1531706,0.088,241.92,6.0,14,11,9,50,18.0
105681,0.126,245.24,1.2,28,2,2,45,1.0
1107125,0.0,235.96,13.9,23,1,13,29,45.0
1234053,0.0,241.97,1.2,21,4,16,57,0.0
1047516,0.088,244.88,1.2,13,12,4,0,0.0
1228098,0.122,243.28,1.8,17,4,13,42,0.0
1116897,0.056,241.05,5.6,30,1,8,21,19.0
520826,0.22,239.21,13.9,13,12,9,50,45.0
1537633,0.41300000000000003,244.2,11.6,18,11,12,37,20.0
1245378,0.062,241.92,6.2,29,4,13,42,20.0
1796401,0.0,242.01,1.2,17,5,5,25,1.0
1260163,0.096,241.38,6.2,5,9,20,7,20.0
1023104,0.062,243.66,0.8,26,11,5,8,0.0
1212742,0.0,240.64,8.6,4,6,21,46,0.0
166722,0.102,239.75,5.6,4,11,12,6,17.0
135026,0.176,239.0,7.4,20,3,11,50,18.0
758953,0.112,239.63,2.0,26,5,18,37,1.0
1330528,0.244,240.94,4.4,27,6,16,52,7.0
1417750,0.096,242.39,1.2,27,8,6,34,2.0
220098,0.072,237.39,1.6,18,5,13,42,0.0
1505278,0.098,243.9,1.2,27,10,1,22,0.0
929747,0.094,239.39,5.2,22,9,9,11,19.0
1352112,0.0,243.84,0.6,7,12,16,36,1.0
1154861,0.102,240.56,1.4,25,2,17,5,0.0
727850,0.0,242.18,1.0,5,5,4,14,1.0
1169781,0.0,244.75,1.6,3,8,1,45,0.0
345197,0.21,233.20499999999996,6.0,13,8,10,41,17.0
494880,0.05,239.77,2.8,25,11,9,24,0.0
864290,0.0,240.24,0.2,8,7,22,14,0.0
1098179,0.0,243.0,13.6,17,1,8,23,18.0
474985,0.146,242.59,1.6,11,11,13,49,0.0
2051225,0.196,241.67,2.0,11,10,4,29,1.0
689381,0.384,243.67,9.8,4,8,11,5,23.0
1036605,0.052,244.8,1.4,12,5,14,9,0.0
1590271,0.088,241.71,5.8,25,12,1,55,21.0
1239539,0.41300000000000003,238.45,10.0,25,4,12,23,29.0
1019755,0.046,237.16,13.8,23,11,21,19,20.0
1282533,0.18,239.88,6.2,25,5,8,57,18.0
1438966,0.124,244.49,1.2,9,11,0,10,1.0
778981,0.09,241.37,2.0,6,9,16,25,0.0
103965,0.082,241.15,1.2,26,2,22,9,0.0
1932084,0.1,240.81052229987583,2.8,19,8,10,48,1.0
1091490,0.066,248.60500000000005,1.2,1,12,16,54,0.0
1087812,0.304,247.47,2.2,1,10,3,36,2.0
1607115,0.152,238.39,11.2,1,5,18,39,18.0
822858,0.154,242.93,1.2,7,10,3,42,1.0
275447,0.088,238.11,3.2,26,6,0,11,0.0
357664,0.246,242.08,1.6,22,8,2,28,0.0
1413247,0.144,241.88,1.2,24,8,3,31,1.0
1673196,0.084,243.11,1.6,20,2,16,0,1.0
1235446,0.206,237.99,6.6,22,4,16,10,19.0
546793,0.136,240.66,5.6,31,12,10,37,2.0
756766,0.138,244.96,1.2,25,5,6,10,1.0
175916,0.258,239.21,6.6,17,4,21,20,0.0
1745439,0.078,242.9,2.4,4,11,20,3,2.0
825117,0.0,238.91,0.6,7,11,17,21,1.0
391845,0.254,234.21,12.8,14,9,20,9,17.0
1421109,0.114,239.13,5.4,29,8,14,33,18.0
1348603,0.104,242.33,1.0,7,10,6,7,0.0
1163151,0.076,240.14,6.0,3,3,11,15,17.0
655464,0.1,242.62,3.2,15,3,21,48,0.0
1401925,0.154,242.66,1.2,16,8,6,49,0.0
1993256,0.134,243.39,1.8,30,9,22,20,1.0
1432841,0.0,243.18,1.0,9,6,18,5,1.0
1102896,0.046,245.79,5.4,20,1,15,0,18.0
905023,0.0,239.58,0.6,9,5,5,7,0.0
1925783,0.148,243.68,1.2,15,8,1,47,0.0
1281808,0.0,242.67,6.4,24,5,20,52,19.0
1830733,0.106,242.51,1.4,6,10,1,37,0.0
260548,0.0,242.65,0.8,15,6,15,52,0.0
352798,0.14,242.61,1.0,18,8,17,22,0.0
226011,0.046,236.63,1.2,22,5,16,15,0.0
1397410,0.148,243.09,1.2,13,8,3,34,1.0
593979,0.104,243.75,1.4,2,2,5,3,0.0
1838718,0.374,238.29,8.8,15,6,14,42,29.0
523268,0.122,245.42,1.4,15,12,2,32,0.0
1011409,0.076,245.13,1.6,18,11,2,13,2.0
213762,0.13,239.05,1.4,14,5,4,6,0.0
677004,0.048,235.1,13.9,30,3,20,48,36.0
131261,0.096,236.18,13.9,17,3,21,5,17.0
1459335,0.0,242.21,0.6,25,9,3,39,1.0
845286,0.326,238.19,2.2,25,7,17,30,2.0
1552910,0.178,245.23,3.4,29,11,3,14,10.0
1985763,0.1,240.81052229987583,2.8,25,9,17,27,1.0
1098682,0.35,242.33,13.0,17,1,16,46,20.0
188575,0.114,236.78,1.0,26,4,16,19,0.0
1726190,0.224,239.85,6.2,29,3,11,14,20.0
1524531,0.13,241.27,5.8,11,9,10,15,18.0
727238,0.344,239.39,8.4,5,4,18,2,16.0
822156,0.268,241.61,1.6,7,9,16,0,3.0
1958889,0.0,241.76,1.0,9,7,1,33,1.0
1461872,0.22,242.65,1.8,26,9,21,56,1.0
249682,0.056,235.72,0.8,6,8,2,46,0.0
282727,0.328,239.46,2.8,7,1,1,31,3.0
996088,0.052,237.22,5.8,11,7,10,52,18.0
760768,0.096,242.51,1.0,28,5,0,52,0.0
419435,0.2,241.03,2.0,10,3,23,59,1.0
1013102,0.072,244.71,1.6,19,11,6,26,1.0
829084,0.092,241.15,1.2,14,7,11,28,0.0
2073333,0.102,243.61,3.8,25,11,12,57,0.0
712730,0.0,242.0,5.4,24,4,16,14,19.0
373199,0.198,238.8,5.8,9,1,21,23,0.0
1900322,0.18,236.9,5.6,28,7,9,26,19.0
910347,0.11,236.01,12.2,9,8,21,51,22.0
1005338,0.108,239.15,7.2,13,11,21,2,0.0
1829286,0.068,240.35,1.2,6,9,1,30,2.0
558823,0.05,237.88,6.8,1,8,19,7,0.0
261060,0.25,240.94,1.6,16,6,0,24,1.0
1370066,0.0,243.52,0.6,25,7,3,50,1.0
